status,youtube_id,label,split,frame_dir,audio_path
success,N8iIq2UzZLk,playing acoustic guitar,test,processed_vggsound/test/frames/playing_acoustic_guitar/N8iIq2UzZLk_30,processed_vggsound/test/audio/playing_acoustic_guitar/N8iIq2UzZLk_30.wav
success,ZRXym93mkWQ,train horning,train,processed_vggsound/train/frames/train_horning/ZRXym93mkWQ_100,processed_vggsound/train/audio/train_horning/ZRXym93mkWQ_100.wav
success,M6rdDnqW8EE,helicopter,train,processed_vggsound/train/frames/helicopter/M6rdDnqW8EE_180,processed_vggsound/train/audio/helicopter/M6rdDnqW8EE_180.wav
success,an9qioJSdPA,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/an9qioJSdPA_45,processed_vggsound/train/audio/bird_chirping__tweeting/an9qioJSdPA_45.wav
success,QXnRUe0rCRs,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/QXnRUe0rCRs_130,processed_vggsound/train/audio/car_engine_knocking/QXnRUe0rCRs_130.wav
success,qSDMo1iqtrQ,people crowd,train,processed_vggsound/train/frames/people_crowd/qSDMo1iqtrQ_140,processed_vggsound/train/audio/people_crowd/qSDMo1iqtrQ_140.wav
success,Cah4MJiVUFI,people crowd,test,processed_vggsound/test/frames/people_crowd/Cah4MJiVUFI_30,processed_vggsound/test/audio/people_crowd/Cah4MJiVUFI_30.wav
success,WxiF5HCFjmU,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/WxiF5HCFjmU_35,processed_vggsound/train/audio/car_engine_knocking/WxiF5HCFjmU_35.wav
success,-PLaLa1Nds4,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/-PLaLa1Nds4_30,processed_vggsound/train/audio/playing_acoustic_guitar/-PLaLa1Nds4_30.wav
success,xPEmI2Ihl7Y,train horning,train,processed_vggsound/train/frames/train_horning/xPEmI2Ihl7Y_789,processed_vggsound/train/audio/train_horning/xPEmI2Ihl7Y_789.wav
success,eatF0Ou2lwQ,playing piano,train,processed_vggsound/train/frames/playing_piano/eatF0Ou2lwQ_0,processed_vggsound/train/audio/playing_piano/eatF0Ou2lwQ_0.wav
success,6kdiESHOO3w,cat meowing,train,processed_vggsound/train/frames/cat_meowing/6kdiESHOO3w_30,processed_vggsound/train/audio/cat_meowing/6kdiESHOO3w_30.wav
success,EyX_GbTmitQ,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/EyX_GbTmitQ_70,processed_vggsound/train/audio/car_engine_knocking/EyX_GbTmitQ_70.wav
success,mOda8QPZ36s,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/mOda8QPZ36s_56,processed_vggsound/train/audio/car_engine_knocking/mOda8QPZ36s_56.wav
success,7Yapsal2IPw,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/7Yapsal2IPw_10,processed_vggsound/train/audio/female_speech__woman_speaking/7Yapsal2IPw_10.wav
success,uyixLLMg3Xo,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/uyixLLMg3Xo_50,processed_vggsound/train/audio/bird_chirping__tweeting/uyixLLMg3Xo_50.wav
success,4A6lj86QJ6s,playing piano,train,processed_vggsound/train/frames/playing_piano/4A6lj86QJ6s_180,processed_vggsound/train/audio/playing_piano/4A6lj86QJ6s_180.wav
success,lJ43mhyUyyo,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/lJ43mhyUyyo_8,processed_vggsound/train/audio/car_engine_knocking/lJ43mhyUyyo_8.wav
success,JQ0gn7bc1LA,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/JQ0gn7bc1LA_140,processed_vggsound/train/audio/bird_chirping__tweeting/JQ0gn7bc1LA_140.wav
success,qfClIKHj7wc,cat meowing,test,processed_vggsound/test/frames/cat_meowing/qfClIKHj7wc_20,processed_vggsound/test/audio/cat_meowing/qfClIKHj7wc_20.wav
success,IgD6Jnw4BZc,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/IgD6Jnw4BZc_30,processed_vggsound/train/audio/bird_chirping__tweeting/IgD6Jnw4BZc_30.wav
success,TpE3anubWm8,playing piano,train,processed_vggsound/train/frames/playing_piano/TpE3anubWm8_530,processed_vggsound/train/audio/playing_piano/TpE3anubWm8_530.wav
success,xtCHDO1C7jw,train horning,train,processed_vggsound/train/frames/train_horning/xtCHDO1C7jw_11,processed_vggsound/train/audio/train_horning/xtCHDO1C7jw_11.wav
success,-NmX8eRTl60,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/-NmX8eRTl60_30,processed_vggsound/train/audio/waterfall_burbling/-NmX8eRTl60_30.wav
success,Zf6rhwIte6A,dog barking,train,processed_vggsound/train/frames/dog_barking/Zf6rhwIte6A_10,processed_vggsound/train/audio/dog_barking/Zf6rhwIte6A_10.wav
success,dSzZWgbJ378,train horning,test,processed_vggsound/test/frames/train_horning/dSzZWgbJ378_30,processed_vggsound/test/audio/train_horning/dSzZWgbJ378_30.wav
success,gRrPwjaUlww,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/gRrPwjaUlww_10,processed_vggsound/train/audio/typing_on_computer_keyboard/gRrPwjaUlww_10.wav
success,Rj4gBVEl6r4,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/Rj4gBVEl6r4_30,processed_vggsound/train/audio/ocean_burbling/Rj4gBVEl6r4_30.wav
success,wlxZ9bIURXE,train horning,train,processed_vggsound/train/frames/train_horning/wlxZ9bIURXE_310,processed_vggsound/train/audio/train_horning/wlxZ9bIURXE_310.wav
success,Sbo4kYSnOuk,dog barking,train,processed_vggsound/train/frames/dog_barking/Sbo4kYSnOuk_10,processed_vggsound/train/audio/dog_barking/Sbo4kYSnOuk_10.wav
success,77EFHMh6VDM,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/77EFHMh6VDM_20,processed_vggsound/train/audio/ocean_burbling/77EFHMh6VDM_20.wav
success,95zxtaKQBBc,playing piano,test,processed_vggsound/test/frames/playing_piano/95zxtaKQBBc_0,processed_vggsound/test/audio/playing_piano/95zxtaKQBBc_0.wav
success,ukzoInaDH_o,people crowd,train,processed_vggsound/train/frames/people_crowd/ukzoInaDH_o_100,processed_vggsound/train/audio/people_crowd/ukzoInaDH_o_100.wav
success,fW6NVxZZekE,playing piano,test,processed_vggsound/test/frames/playing_piano/fW6NVxZZekE_100,processed_vggsound/test/audio/playing_piano/fW6NVxZZekE_100.wav
success,rVk7KhpEAx8,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/rVk7KhpEAx8_12,processed_vggsound/train/audio/bird_chirping__tweeting/rVk7KhpEAx8_12.wav
success,LvHVrKhkKBE,raining,test,processed_vggsound/test/frames/raining/LvHVrKhkKBE_420,processed_vggsound/test/audio/raining/LvHVrKhkKBE_420.wav
success,bFaN_qRG7Ns,thunder,train,processed_vggsound/train/frames/thunder/bFaN_qRG7Ns_80,processed_vggsound/train/audio/thunder/bFaN_qRG7Ns_80.wav
success,glgBqCeC68M,cat meowing,train,processed_vggsound/train/frames/cat_meowing/glgBqCeC68M_30,processed_vggsound/train/audio/cat_meowing/glgBqCeC68M_30.wav
success,9NcxNH75ByE,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/9NcxNH75ByE_30,processed_vggsound/train/audio/typing_on_computer_keyboard/9NcxNH75ByE_30.wav
success,NhG3B6SSgA8,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/NhG3B6SSgA8_30,processed_vggsound/train/audio/car_engine_knocking/NhG3B6SSgA8_30.wav
success,-yOoQLNqLo4,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/-yOoQLNqLo4_30,processed_vggsound/train/audio/playing_acoustic_guitar/-yOoQLNqLo4_30.wav
success,3TB0dB1r59M,train horning,train,processed_vggsound/train/frames/train_horning/3TB0dB1r59M_10,processed_vggsound/train/audio/train_horning/3TB0dB1r59M_10.wav
success,R1zoAMguO3A,helicopter,test,processed_vggsound/test/frames/helicopter/R1zoAMguO3A_150,processed_vggsound/test/audio/helicopter/R1zoAMguO3A_150.wav
success,QONa0_ox4V8,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/QONa0_ox4V8_11,processed_vggsound/train/audio/waterfall_burbling/QONa0_ox4V8_11.wav
success,IWs_DMeJXUI,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/IWs_DMeJXUI_15,processed_vggsound/train/audio/car_engine_knocking/IWs_DMeJXUI_15.wav
success,dEeFFf487aE,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/dEeFFf487aE_250,processed_vggsound/train/audio/female_speech__woman_speaking/dEeFFf487aE_250.wav
success,mApjaBYyiQI,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/mApjaBYyiQI_160,processed_vggsound/train/audio/female_speech__woman_speaking/mApjaBYyiQI_160.wav
success,qiBpZAaqMFw,thunder,train,processed_vggsound/train/frames/thunder/qiBpZAaqMFw_30,processed_vggsound/train/audio/thunder/qiBpZAaqMFw_30.wav
success,OjObMozGKBM,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/OjObMozGKBM_70,processed_vggsound/train/audio/typing_on_computer_keyboard/OjObMozGKBM_70.wav
success,p-C-Nal08lU,helicopter,test,processed_vggsound/test/frames/helicopter/p-C-Nal08lU_30,processed_vggsound/test/audio/helicopter/p-C-Nal08lU_30.wav
success,HjIoQ3z_cf4,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/HjIoQ3z_cf4_10,processed_vggsound/train/audio/typing_on_computer_keyboard/HjIoQ3z_cf4_10.wav
success,UXTTFMsTj7k,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/UXTTFMsTj7k_30,processed_vggsound/train/audio/typing_on_computer_keyboard/UXTTFMsTj7k_30.wav
success,aPEPCC4pPkk,helicopter,train,processed_vggsound/train/frames/helicopter/aPEPCC4pPkk_0,processed_vggsound/train/audio/helicopter/aPEPCC4pPkk_0.wav
success,11JTJe1Hj2k,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/11JTJe1Hj2k_30,processed_vggsound/train/audio/playing_acoustic_guitar/11JTJe1Hj2k_30.wav
success,3M62sGpknh8,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/3M62sGpknh8_44,processed_vggsound/train/audio/car_engine_knocking/3M62sGpknh8_44.wav
success,3WwPU4zyorM,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/3WwPU4zyorM_30,processed_vggsound/train/audio/ocean_burbling/3WwPU4zyorM_30.wav
success,BbNHWQrTu2o,waterfall burbling,test,processed_vggsound/test/frames/waterfall_burbling/BbNHWQrTu2o_30,processed_vggsound/test/audio/waterfall_burbling/BbNHWQrTu2o_30.wav
success,75PJeJ2hGcw,cat meowing,test,processed_vggsound/test/frames/cat_meowing/75PJeJ2hGcw_30,processed_vggsound/test/audio/cat_meowing/75PJeJ2hGcw_30.wav
success,HcOO67Gw0A0,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/HcOO67Gw0A0_390,processed_vggsound/train/audio/waterfall_burbling/HcOO67Gw0A0_390.wav
success,SvECvMOY-cY,thunder,train,processed_vggsound/train/frames/thunder/SvECvMOY-cY_180,processed_vggsound/train/audio/thunder/SvECvMOY-cY_180.wav
success,QYVyG8FrGWw,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/QYVyG8FrGWw_30,processed_vggsound/train/audio/playing_acoustic_guitar/QYVyG8FrGWw_30.wav
success,dKltSfe62RA,helicopter,train,processed_vggsound/train/frames/helicopter/dKltSfe62RA_190,processed_vggsound/train/audio/helicopter/dKltSfe62RA_190.wav
success,X7so5Y-VxEE,playing piano,train,processed_vggsound/train/frames/playing_piano/X7so5Y-VxEE_110,processed_vggsound/train/audio/playing_piano/X7so5Y-VxEE_110.wav
success,tah7wdsfDcg,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/tah7wdsfDcg_380,processed_vggsound/train/audio/bird_chirping__tweeting/tah7wdsfDcg_380.wav
success,gNJyiTi2qxg,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/gNJyiTi2qxg_10,processed_vggsound/train/audio/waterfall_burbling/gNJyiTi2qxg_10.wav
success,9aaJ9SstfpU,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/9aaJ9SstfpU_10,processed_vggsound/train/audio/car_engine_knocking/9aaJ9SstfpU_10.wav
success,eESVZwWKOOE,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/eESVZwWKOOE_20,processed_vggsound/train/audio/female_speech__woman_speaking/eESVZwWKOOE_20.wav
success,KFDlOg7quMo,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/KFDlOg7quMo_150,processed_vggsound/train/audio/ocean_burbling/KFDlOg7quMo_150.wav
success,0SC_QHdJo_0,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/0SC_QHdJo_0_0,processed_vggsound/train/audio/car_engine_knocking/0SC_QHdJo_0_0.wav
success,rMPlsseDPoI,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/rMPlsseDPoI_30,processed_vggsound/train/audio/bird_chirping__tweeting/rMPlsseDPoI_30.wav
success,9WMEA4fQ0lo,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/9WMEA4fQ0lo_7,processed_vggsound/train/audio/car_engine_knocking/9WMEA4fQ0lo_7.wav
success,rTh92nlG9io,typing on computer keyboard,test,processed_vggsound/test/frames/typing_on_computer_keyboard/rTh92nlG9io_30,processed_vggsound/test/audio/typing_on_computer_keyboard/rTh92nlG9io_30.wav
success,Xg3bzsrOGnQ,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/Xg3bzsrOGnQ_530,processed_vggsound/train/audio/female_speech__woman_speaking/Xg3bzsrOGnQ_530.wav
success,Elo7Rs9VvsQ,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/Elo7Rs9VvsQ_40,processed_vggsound/train/audio/typing_on_computer_keyboard/Elo7Rs9VvsQ_40.wav
success,MyUItl-2v0U,waterfall burbling,test,processed_vggsound/test/frames/waterfall_burbling/MyUItl-2v0U_50,processed_vggsound/test/audio/waterfall_burbling/MyUItl-2v0U_50.wav
success,8tCBldr1gpc,car engine knocking,test,processed_vggsound/test/frames/car_engine_knocking/8tCBldr1gpc_30,processed_vggsound/test/audio/car_engine_knocking/8tCBldr1gpc_30.wav
success,k7vN56aM7sE,"bird chirping, tweeting",test,processed_vggsound/test/frames/bird_chirping__tweeting/k7vN56aM7sE_30,processed_vggsound/test/audio/bird_chirping__tweeting/k7vN56aM7sE_30.wav
success,cJuWEvjeVX0,playing piano,train,processed_vggsound/train/frames/playing_piano/cJuWEvjeVX0_120,processed_vggsound/train/audio/playing_piano/cJuWEvjeVX0_120.wav
success,Q8GGjvRk_s8,cat meowing,train,processed_vggsound/train/frames/cat_meowing/Q8GGjvRk_s8_10,processed_vggsound/train/audio/cat_meowing/Q8GGjvRk_s8_10.wav
success,UIxLB9Gd_U4,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/UIxLB9Gd_U4_30,processed_vggsound/train/audio/typing_on_computer_keyboard/UIxLB9Gd_U4_30.wav
success,ZPO1zpDqQ8I,ocean burbling,test,processed_vggsound/test/frames/ocean_burbling/ZPO1zpDqQ8I_80,processed_vggsound/test/audio/ocean_burbling/ZPO1zpDqQ8I_80.wav
success,45eqONaFyPQ,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/45eqONaFyPQ_30,processed_vggsound/train/audio/playing_acoustic_guitar/45eqONaFyPQ_30.wav
success,nUDbAFd3h20,dog barking,train,processed_vggsound/train/frames/dog_barking/nUDbAFd3h20_50,processed_vggsound/train/audio/dog_barking/nUDbAFd3h20_50.wav
success,F06oyJAn2RI,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/F06oyJAn2RI_78,processed_vggsound/train/audio/bird_chirping__tweeting/F06oyJAn2RI_78.wav
success,ixJqSZhhtlI,train horning,train,processed_vggsound/train/frames/train_horning/ixJqSZhhtlI_80,processed_vggsound/train/audio/train_horning/ixJqSZhhtlI_80.wav
success,aSF4PVmgU0c,people crowd,train,processed_vggsound/train/frames/people_crowd/aSF4PVmgU0c_30,processed_vggsound/train/audio/people_crowd/aSF4PVmgU0c_30.wav
success,N2LeGBYg0Eo,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/N2LeGBYg0Eo_814,processed_vggsound/train/audio/typing_on_computer_keyboard/N2LeGBYg0Eo_814.wav
success,pHwldgWTGmY,people crowd,train,processed_vggsound/train/frames/people_crowd/pHwldgWTGmY_30,processed_vggsound/train/audio/people_crowd/pHwldgWTGmY_30.wav
success,VeAomElRCJc,playing acoustic guitar,test,processed_vggsound/test/frames/playing_acoustic_guitar/VeAomElRCJc_30,processed_vggsound/test/audio/playing_acoustic_guitar/VeAomElRCJc_30.wav
success,xSPizZkxMfc,thunder,train,processed_vggsound/train/frames/thunder/xSPizZkxMfc_190,processed_vggsound/train/audio/thunder/xSPizZkxMfc_190.wav
success,oALNTALvUm0,playing piano,train,processed_vggsound/train/frames/playing_piano/oALNTALvUm0_190,processed_vggsound/train/audio/playing_piano/oALNTALvUm0_190.wav
success,Da_NrBx9Mns,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/Da_NrBx9Mns_30,processed_vggsound/train/audio/waterfall_burbling/Da_NrBx9Mns_30.wav
success,31Ia6A8vGX8,playing acoustic guitar,train,processed_vggsound/train/frames/playing_acoustic_guitar/31Ia6A8vGX8_30,processed_vggsound/train/audio/playing_acoustic_guitar/31Ia6A8vGX8_30.wav
success,QXnJ2manIdI,"female speech, woman speaking",test,processed_vggsound/test/frames/female_speech__woman_speaking/QXnJ2manIdI_30,processed_vggsound/test/audio/female_speech__woman_speaking/QXnJ2manIdI_30.wav
success,sdeFl8zKgK4,helicopter,train,processed_vggsound/train/frames/helicopter/sdeFl8zKgK4_30,processed_vggsound/train/audio/helicopter/sdeFl8zKgK4_30.wav
success,YzeSihvLC6U,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/YzeSihvLC6U_50,processed_vggsound/train/audio/waterfall_burbling/YzeSihvLC6U_50.wav
success,0KdogsEtIIg,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/0KdogsEtIIg_30,processed_vggsound/train/audio/female_speech__woman_speaking/0KdogsEtIIg_30.wav
success,WIrnq6luD9c,helicopter,train,processed_vggsound/train/frames/helicopter/WIrnq6luD9c_20,processed_vggsound/train/audio/helicopter/WIrnq6luD9c_20.wav
